# Full-DANN log 2025-07-05 20:48:08.403589
ep	λ	trCE	trDom	spAcc	valCE	valAcc
1	0.00	1.0866	2.8881	4.70	0.4811	83.42
2	0.00	0.3628	2.8968	4.51	0.3384	88.74
3	0.00	0.2239	2.8865	4.56	0.2050	93.55
4	0.00	0.1668	2.9011	4.27	0.1419	95.16
5	0.00	0.1228	2.9015	3.64	0.1508	95.03
6	0.00	0.0942	2.9085	3.45	0.1338	95.47
7	0.00	0.0881	2.9117	3.17	0.4595	86.92
8	0.00	0.0755	2.9062	2.74	0.2836	91.34
9	0.00	0.0603	2.9279	2.57	0.0977	97.08
10	0.00	0.0581	2.9257	2.80	0.1169	96.24
11	0.00	0.0459	2.9190	2.38	0.1875	94.37
12	0.07	0.1337	84.2204	2.56	0.1852	96.24
13	0.14	0.3494	40.5564	2.62	0.2620	96.29
14	0.19	0.3189	21.5772	2.62	0.2412	96.71
15	0.23	0.3218	14.8870	2.62	0.2453	97.11
16	0.25	0.2913	12.3011	2.62	0.2546	97.13
17	0.27	0.2805	11.1389	2.62	0.2746	97.13
18	0.28	0.2744	10.4900	2.62	0.2711	97.47
19	0.29	0.2616	10.0435	2.62	0.2317	98.29
20	0.29	0.2542	9.7879	2.62	0.2436	97.50
21	0.30	0.2352	9.6004	2.62	0.2986	95.42
22	0.30	0.2531	9.5016	2.62	0.2326	97.21
23	0.30	0.2211	9.3985	2.62	0.2271	98.00
24	0.30	0.2048	9.3177	2.62	0.2003	98.18
25	0.30	0.1991	9.2715	2.62	0.2462	97.58
26	0.30	0.1880	9.2291	2.62	0.1883	98.37
27	0.30	0.1875	9.2058	2.62	0.2219	98.11
28	0.30	0.1887	9.2083	2.62	0.2002	98.24
29	0.30	0.1764	9.2059	2.62	0.2274	97.76
30	0.30	0.1755	9.2143	2.62	0.2509	97.29
